Username,Rating,Review,App
Pengguna Google,1,"SHOPEE Diambang kehancuran ditinggalkan konsumen dengan kebijakan menghapus expedisi JNT, alangkah bodohnya MANAGEMENT SHOPEE melepas JNT dan memonopoli dengan jasa kirim Shopee EKSPRES (SPX) yang kinerja ABAL-ABAL AMBURADUL. SHOPEE sukses karena adanya ekspedisi JNT yang MEMANG PALING BAGUS CEPAT TERPERCAYA, jasa kirim SPX hanya memperbangkut karena jelek tidak profesional Main² Lamban lambat kaya keong sawah dan tak bermutu. Mari kita tinggalkan shopee GOODBYE SHOPEE, Smg Bangkrut!..",Shopee
Pengguna Google,5,saat baik,Shopee
Pengguna Google,1,"sengaja checkout banyak barang pengen tau yang dateng duluan yang mana, tapi nyatanya dah 6 hari belom dateng², shopee express lamban",Shopee
Pengguna Google,5,jadi gampang berbelanja,Shopee
Pengguna Google,5,apk terbaik dan mudah dalam berbelanja online untuk kalangan menengah kebawah juga ok,Shopee
Pengguna Google,5,"baguss, Alhamdulillah selama beli tidak pernah tertipu, jika ingin membeli mohon dilihat dulu agar tidak tertipu dan agar kualitas yang didapat bagus🙏🥰",Shopee
Pengguna Google,5,sangat cocok,Shopee
Pengguna Google,3,"mohon disederhanakan tampilan layar utamanya, seperti pop up event/promo, & shortcut mini game sama video-video livenya, soalnya cukup berantakan dan cukup Menuhin layar. apalagi thumbnail video-video livenya banyak yg nge-distraksi dan bikin ga fokus, even banyak yg inappropriate. promo/event apapun itu jadi gak ter-notice",Shopee
Pengguna Google,3,terbaik,Shopee
Pengguna Google,1,"pengiriman shopee lama..😂dikirim via darat 2 hari ok😅 tgl 8 dikirim ,tgl 10 di kembalikan lagi dari kurir dan di proses lagi,,padahal udah di sorti di tempat tujuan 😂😂😂",Shopee
Pengguna Google,1,"pesanan dibatalkan dengan alasan melakukan aktivitas tidak wajar , shopee makin gak jelas",Shopee
Pengguna Google,5,shopee tempat belanja online termurah,Shopee
Pengguna Google,5,bagus sekali,Shopee
Pengguna Google,5,bagus pelayanannya,Shopee
Pengguna Google,5,okem,Shopee
Pengguna Google,5,"suka berbelanja di shope dan sampainwaktu ini barang2 yg saya beli semua sesuai dan berfungsi normal, sukses untuk shopee",Shopee
Pengguna Google,5,sangat cocok untuk belanja online,Shopee
Pengguna Google,5,Saya sangat suka dengan aplikasi Shopee,Shopee
Pengguna Google,5,barang sesuai pesanan,Shopee
Pengguna Google,5,"tidak dapat merangkai kata""?",Shopee
Pengguna Google,5,terimakasih aplikasi ini sangat membantu,Shopee
Pengguna Google,1,"Pengiriman semakin lama , biasanya datang 3 sampai 4 hari sekarang jadi 7 hari bahkan sampai 2 minggu",Shopee
Pengguna Google,5,bagus aku seterusnya pesan paket di sini,Shopee
Pengguna Google,5,suka,Shopee
Pengguna Google,3,"huhu Shopee kenapa ya ga aktifin J&T, pdhl aku suka Shopee itu krna lengkap dan kalau pake J&T selalu cepat, tapi ini kenapa ya mlh ga di aktifin, jujur bikin aku kurang suka sm Shopee yg sekarang, maaf min tapi semoga bisa di aktifkan kembali ya biar pengiriman nya cepat, kalau pake pengiriman yg lain nunggu nya males butuh berhari hari ga secepat J&T:(",Shopee
Pengguna Google,5,"Status Pesanan Tidak TerUpdate dengan Baik , Tolong Segera di Perbaiki , Tolong untuk setiap DC SPX proses Sortir di Percepat dan Teliti , Terutama daerah Jakarta , Itu Saja Saran dari Saya . Terima Kasih .",Shopee
Pengguna Google,1,"saya tidak suka saat buka aplikasi shopee yang duluan muncul video live. sangat menggangu, tampilkan beranda depan.!",Shopee
Pengguna Google,5,"sangat"" memuaskan laah 👍🏻",Shopee
Pengguna Google,3,"Setelah ada pembaruan,ko skr jd susah yak menemukan floating live pada sebuah produk.",Shopee
Pengguna Google,2,"Akhir-akhir ini pihak shopee mungkin tidak memberikan teguran kepada pemilik toko yang mengemas barang sangat lama,slow respon dan banyak lagi,shopee maaf bintangnya aku revisi",Shopee
Pengguna Google,5,apk nya bagus gampang,Shopee
Pengguna Google,5,"okee,, josss",Shopee
Pengguna Google,5,mantap,Shopee
Pengguna Google,5,amanah,Shopee
Pengguna Google,5,selalu memeberikan yang terbaik,Shopee
Pengguna Google,5,"ok banget,. banyak diskon,.. banyak gratis ongkir,.. bisa klaim koin juga buat belanja biar lebih murah",Shopee
Pengguna Google,5,playanan yg selalu di kembangkan sebagus mungkin👍👍👍👍,Shopee
Pengguna Google,5,sukses terus ya Alhamdulillah,Shopee
Pengguna Google,5,Mantap Ada Spaylater Dan Spinjam Sangat Membantu,Shopee
Pengguna Google,1,iklannya ngganggu banget,Shopee
Pengguna Google,5,"sangat rahasia ,tdk menampilkan nama barang & harga",Shopee
Pengguna Google,5,"Produk yg dibeli di Shopee bagus"" dan mantap sesuai dg harapan dan harganya terjangkau, trim's, Shopee memang mantap",Shopee
Pengguna Google,5,semoga Shopee semakin jadi lebih baik lagi,Shopee
Pengguna Google,5,sy sangat senang dengan pelayanan shopee,Shopee
Pengguna Google,5,Puas tanpa batas,Shopee
Pengguna Google,1,"update terbaru malah makin jelek fiturnya, tiap mau co sinyal hilang tiba-tiba udh kebikin paketnya.",Shopee
Pengguna Google,5,klau masalah..kepuasaan..oke lah kita puas berbelanja di shopee 👍..tapi kenapa suka selalu alamat tidak lengkap saat pengiriman ya...PadahaL sudah tertera Jelas alamat di aplikasi shopee dan alamat paket itu sama ..tapi knp sering terjadi saat pengiriman selalu alamat tidak lengkap...apa kah ini permainan dari oknum ya apa gmna....🙏 terima kasih sebelumnya 🙏🙏,Shopee
Pengguna Google,5,h aku tak Nang Weeelloop,Shopee
Pengguna Google,1,toko harusnya jujur kalo barang ga ready jangan bilang ready..... sudah menunggu ternyata zonk,Shopee
Pengguna Google,5,Philips istimewa,Shopee
Pengguna Google,5,Berbelanja mudah dan murah2 dengan barang yang bagus,Shopee
Pengguna Google,5,memudahkan untuk berbelanja 🤍🤍🤍,Shopee
Pengguna Google,5,semoga lebih banyak promo dan gratis ongkir lebih banyak lagi,Shopee
Pengguna Google,1,"sekarang shopper semakin kesini jelek gak ada nomor kurirnya pengiriman lama ,banyak toko penipuan 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎",Shopee
Pengguna Google,5,"bagus dan pelayanan penjual bagus,banyak diskon, paket cepat sampai",Shopee
Pengguna Google,3,paylaternya ga pernaha di acc,Shopee
Pengguna Google,5,mudah belanja kapan pun dan dimanapun dan apapun barang yang diinginkan dengan mudah,Shopee
Pengguna Google,5,lumayan lengkap dan banyak voucher diskonnya. 😁,Shopee
Pengguna Google,2,saya sbg pelanggan shopee sangat terintimidasi oleh kurir yg seolah2 paling benar dlm mengantar paket. saya menekankan kepada kurir shopee mohon dibaca alamat dgn teliti dan cari di google maps biar ada titik antarnya jelas. alamat sudah jelas seolah2 saya memberi alamat salah. sama2 org bali malah mengintimidasi kaumnya sendiri.,Shopee
Pengguna Google,5,sangat membantu,Shopee
Pengguna Google,5,keren dan murah,Shopee
Pengguna Google,1,"pengirimannya larut hari makin lelet dan lemot,harus di tingkatkan lagi pengiriman nya",Shopee
Pengguna Google,5,bintang yang bicara,Shopee
Pengguna Google,5,"tolong shoppe toko yg berikan harga murah, alesan promo tp tdk dikirim, blokir aja, sy seperti tertipu harus belanja 2 barang, yg murah (promo) gak dikirim yg mahal dikirim, tolong toko yg begitu jangan diajak join 😡",Shopee
Pengguna Google,5,limit spaylater Shopie nya tidak tambah2 padahal pembayaran tidak pernah telat,Shopee
Pengguna Google,5,more better,Shopee
Pengguna Google,4,😎bagusnya,Shopee
Pengguna Google,5,Enak banget pesen nya cepet dan tidak rumit,Shopee
Pengguna Google,5,oke baik,Shopee
Pengguna Google,5,"saya suka belanja di shopee,pertama ongkirnya gak terlalu mahal,kedua barang nya bagus bagus sesuai ,dan pengiriman nya juga cepat , pkok nya suka bngt belanja di shopee😍😍",Shopee
Pengguna Google,5,👍,Shopee
Pengguna Google,5,"Bagus tapi butuhin kuota besar untuk aplikasinya,klu gak gitu lemot.Tapi untungnya ini aplikasi yang sering kupakai",Shopee
Pengguna Google,1,"pesenan saya ga nyampe2, padahal sudah dlm pengiriman, kurir ga ngabarin sama sekali. bener2 parah",Shopee
Pengguna Google,5,ok,Shopee
Pengguna Google,4,lumayan simpel menggunakan shopee,Shopee
Pengguna Google,2,"untuk sekarang shopee bener"" bukan meningkatkan pelayanan kurirnya,sejak ngak ada j&t malah menurun pelayanan kurirnya shopee... yg seharusnya nyampe sehari skrg nyampe 4 ari 🤦🤦",Shopee
Pengguna Google,5,Selalu belanja di toko oranye.,Shopee
Pengguna Google,5,Bagus,Shopee
Pengguna Google,1,"kecewa gua sama shoope sekarang, pelayanan buruk sampah bener bener sampah, ekspedisi pihak dari shoope sendiri spx masa pelayanan nya lama, paket gua di tahan Mulu ga di sortir sortir ga di proses, gua mesen dari tanggal 2 sampe tanggal 10 paket belom sampe sampe, mending gua pindah ke Tokopedia, lazada",Shopee
Pengguna Google,5,serba ada.terjangakau.pengiriman tepat waktu.banyak pilihan.bisa cod.,Shopee
Pengguna Google,2,ongkir lama bgt,Shopee
Pengguna Google,2,"Buruk sekarang Shopee dengan tidak ada nya pengiriman via J&T. di provinsi kota kami nunukan kaltara hanya J&T yg tercepat sampai barangnya, paling lambat 5 hari sampainya. lah sekarang malah shopee tinggal jasa pengiriman SPX saja yg ada. apa nya yg express tu SPX, 1 bulan bahkan lebih baru sampai di kota kami nunukan Kaltara.. SPX aja tu kalah sama Kargo. kargo bisa 2 minggu sampai nya..",Shopee
Pengguna Google,5,"sopi emang mntab joz ,semoga lancar jaya",Shopee
Pengguna Google,5,keren,Shopee
Pengguna Google,1,tidak ada metode pembayaran qris,Shopee
Pengguna Google,5,sangat bagus semoga berkah amiin,Shopee
Pengguna Google,5,bagus poll n membantu,Shopee
Pengguna Google,5,kurang lengkap kaka shope saya mau checkout pintu doraemon kmna ajah ga ada . padahal itu penting banget kaka shope,Shopee
Pengguna Google,5,cepat tanggap,Shopee
Pengguna Google,4,sementara bintang 4 dulu...karna sejauh ini masih banyak pesanan yang lama dalam proses pengemasan,Shopee
Pengguna Google,5,sesuai,Shopee
Pengguna Google,3,setiap saya belanja di shope semua produknya bagus murah cuma pengemasan nya aja agak lambat,Shopee
Pengguna Google,5,sangat membantu y,Shopee
Pengguna Google,5,sukaa bgttt sama shoppee cuman aku kesel yang memverivikasi link apa no handpone nya harus dua yaa,Shopee
Pengguna Google,5,pesanan sesuai dan lengkap,Shopee
Pengguna Google,5,"Sangat membantu ,memudahkan mencari kebutuhan ...makasi shopee",Shopee
Pengguna Google,5,"cs mantap, asal mau nunggu. cuma pasti diurusiin klo ada masala..",Shopee
Pengguna Google,5,bagus bngt,Shopee
Pengguna Google,5,pengalaman berbelanja lebih enak,Shopee
Pengguna Google,2,kenapa sekarang buka apk langsung di suguhkan iklan,Shopee
Pengguna Google,4,saya suka belanja di shope,Shopee
Pengguna Google,1,"setiap buka aplikasi langsung otomatis masuk ke video live, udah lelet tambah lelet. aplikasi super lelet.",Shopee
Pengguna Google,5,pelayananya cepat.....,Shopee
Pengguna Google,5,godd jodd shope,Shopee
Pengguna Google,5,"belanja di shopee menyenangkan ,banyak diskon dapat harga lebih murah dari konvensional",Shopee
Pengguna Google,3,"tolong perbaiki bug tidak bisa kirim pesan ke toko penjual, saya mau tanya 2 jadi susah",Shopee
Pengguna Google,3,"kangen jnt, soalnya cepet pengirimannya, kurir nya baik, pengen nya kasih rate 5 tapi karena jnt gak ada jadi 3 deh",Shopee
Pengguna Google,5,shope tempat y blanja murah,Shopee
Pengguna Google,2,"Sudah kurang baik ketika masuk shopee langsung masuk live, bising dengan orang bicara di live bikin lemot hp, yang tidak kentang, dan ingin oder barang lain malah sibuk dengan live orang.",Shopee
Pengguna Google,1,pengiriman nya lama banget bisa ampe 2 minggu padahal lokasi nya masih di jakarta,Shopee
Pengguna Google,5,bagus!!,Shopee
Pengguna Google,5,josssss gannndooooosssss mantaaaaaap jiewwwaaaa entah terangkanlaaaaaaaahhhh,Shopee
Pengguna Google,5,bagus barang yang dipesan sesuai ekspetasi dan pelayanan yang okee,Shopee
Pengguna Google,5,mudah dan aman,Shopee
Pengguna Google,5,pilihan banyak,Shopee
Pengguna Google,1,"apk sangat buruk,sudah berulang kali daftar akan foto KTP selalu di tolak👎👎",Shopee
Pengguna Google,2,"pengirimannya lama banget apalagi pakai spx express, cuma lewat J&T paketnya cepat nyampai, semoga shopee bisa kerjasama lagi sama pihak J&T😥.",Shopee
Pengguna Google,5,praktis,Shopee
Pengguna Google,1,"makin lama semakin ngga jelas ni apk, pengiriman ga pernah sesuai sama estimasi yang ditentukan, bahkan bisa lewat 2-3 hari. dan itu ga sekali dua kali",Shopee
Pengguna Google,5,sangat membantu untuk belanja online. ongkir juga relatif murah. Terimakasih Shoppee🙏😊,Shopee
Pengguna Google,5,aplikasi bagus,Shopee
Pengguna Google,1,ga bisa cod,Shopee
Pengguna Google,5,sangat puas lah pengiriman barang cepat lagi,Shopee
Pengguna Google,5,"tidak pernah mengecewakan, best",Shopee
Pengguna Google,2,ngak bisa instal apk ini😥,Shopee
Pengguna Google,4,min berikan fitur hapus daftar belanjaan yg sudah selesai dong,Shopee
Pengguna Google,5,pokoknya kalian harus download ini aplikasi sangat berguna,Shopee
Pengguna Google,5,Mantap.,Shopee
Pengguna Google,5,sangat sangat membantu,Shopee
Pengguna Google,5,blanja dengan hemat di shopee,Shopee
Pengguna Google,5,suka bangett,Shopee
Pengguna Google,1,mit amit ongkirnya mahal semakin di updete teh jelek trs mna mahal lgi ongkirnya HUH NAJIS,Shopee
Pengguna Google,4,"selama saya pakai Alhamdulillah bagus , gratis ongkir tapi sayang ketika mencoba daftar spaylater di tolak terus padahal semua sudah sesuai",Shopee
Pengguna Google,4,bagus aplikasi nya barang nya juga sesuai sama harga paling lama Dateng nya 3 hari waktu itu saya mesen Dateng nya aga lama sampai 4 hari bagus si cuman sekarang aga kesel aja soal nya bayar nya harus pake bank ga bisa cod gmn sama orang yg ga punya bank ga bisa untuk berbelanja jadi tolong di perbaiki ya,Shopee
Pengguna Google,5,🤍🤍,Shopee
Pengguna Google,5,"Sangat membantu untuk kebutuhan sehari-hari, sangat memuaskan",Shopee
Pengguna Google,2,"gua gak paham dah ini shope, barang belum sampai tapi udak ke confirm pesanan selesai",Shopee
Pengguna Google,5,joooos,Shopee
Pengguna Google,5,pelayanan optimal,Shopee
Pengguna Google,5,Baik,Shopee
Pengguna Google,5,aplikasi yg bagus dan gampang di mengerti mau blanja apa aja ada di sini,Shopee
Pengguna Google,5,mantp,Shopee
Pengguna Google,5,semenjak saya kenal shopee belanja lebih mudah dan nyaman,Shopee
Pengguna Google,5,SUKAAA,Shopee
Pengguna Google,5,jos,Shopee
Pengguna Google,5,"Sangat"" membantu buat segalanya shopee semoga makin sukses",Shopee
Pengguna Google,3,"cukup bagus, cuma knp ya klo lg buka apk lain tb2 ada notif shoppee lgsg kebuka apk shoppeenya",Shopee
Pengguna Google,1,saya kecewa jualan di sini. dishopee kan ada sistem cek dulu sebelum bayar. pengalaman saya dapat pembeli yang aneh aneh pilih sistem cod tapi paket di tuker dan ada juga dalamnya di ambil lalu di kembalikan yang gak sesuai seperti yang saya kirim yang saya kecewakan kenapa pihak kuir SHOPEE EXPRESS & J&T EXPRESS ngizinin di buka dulu. seharusnya kurirnya kan bisa ngomong kalau dicek dulu bisa pakai sistem dicek dulu kalau gak sesuai di kembalikan tolong dong pihak shopee.,Shopee
Pengguna Google,5,maantaaap...,Shopee
Pengguna Google,5,Good,Shopee
Pengguna Google,5,harus sering belanja supaya punya pengalaman berbelanja di shopee mendapatkan barang2 yang benar2 berkualitas dengan harga murah,Shopee
Pengguna Google,5,luar biasa,Shopee
Pengguna Google,5,mantap.. sangat membantu untuk cari nafkah,Shopee
Pengguna Google,2,pengiriman banyak terlambat dan tidak sesuai,Shopee
Pengguna Google,1,tiling shope jangan bikin iklan dimana² solanya pasti iklannya shopee teruss,Shopee
Pengguna Google,5,sangat memuaskan belanja di shoppe.,Shopee
Pengguna Google,1,"Makin kesini makin kebawah kualitasnya.. Mau barang elektronik bilangnya siap pake nyatanya 0. Mau return malah ribet, dibawa kesana kesini.. Mau blnja online biar gak ribet justru ribet+rugi uang.. Kalau saya boleh kasih saran sih mending pindah ke income lain aja buat blnja. Udah gak jelas",Shopee
Pengguna Google,5,pantap,Shopee
Pengguna Google,5,Shoee sangat membantu kebutuhan masyarakat yg sibuk berbelanja,Shopee
Pengguna Google,5,mantap appnya,Shopee
Pengguna Google,5,SAE. ..... ALUS PISAN ' TAPI NGINJEUM PENGAJUAN DUIT PINJAMAN HESE ALIAS SUSAH !!!,Shopee
Pengguna Google,1,"sinyal full buka apk semua lancarr, main game lancar tapi buka shopee gambarnya ga pernahh muncull gjlss dah pake wifi pun sama gimana mau liat barangnya coba?",Shopee
Pengguna Google,1,hati hati pinjol disini,Shopee
Pengguna Google,5,aplikasi sangat bagus. barang yang dipesan sesuai dengan estimasi yang tertera,Shopee
Pengguna Google,1,"Mohon di tindak lanjutin kurir same day,masak kita sebagai pembeli di salah-salah kan karna tempat yang jau,salah posisi alamat lah,jalan yang rusakla,kita di katain sok pinterla,padahal kita order sesui sistem layanan yang ada.Kita juga pengguna suda lama,munggkin suda order ratusan. mohon di utamakan kurir yang niat kerja bukan kurir yang asal2an.makasih",Shopee
Pengguna Google,5,sangat membantu loh.. aku selalu dapet gratis ongkir..,Shopee
Pengguna Google,5,bagusssssssssss,Shopee
Pengguna Google,5,Mantap harga boleh dibandingkan,Shopee
Pengguna Google,1,gajelas aplikasi shopee,Shopee
Pengguna Google,5,gak pernah kecewa tiap kali pesan di shopie,Shopee
Pengguna Google,5,OK,Shopee
Pengguna Google,4,4 dulu pemula,Shopee
Pengguna Google,4,"Status menuju alamat tujuan,ujung"" nya pesanan di antar esok hari dgn alasan kemalaman,walopun estimasi sampai besoknya,,sedangkan klo kelewat estimasi vocer 10k,klo telatnya 2hari lebih kok gak ada vocer/bonus lain,",Shopee
Pengguna Google,5,nice,Shopee
Pengguna Google,5,Mantab pertahankan kebaikan supaya barokah,Shopee
Pengguna Google,3,"sekarang ko shoppe pengirimannya lambat dengan spx expres, selalu di tunda tunda sama kurirnya dan akhirnya malah di batalin dari pihak shoppenya",Shopee
Pengguna Google,1,"PERLU DI PERHATIKAN !!!! fitur ulasan shopee food Sangat Buruk!!! pihak resto dapat menghubungi customer setelah di ulas, ulasan karena produk buruk , resto tidak terima di beri bintang 2, lalu customer di hubungi, bahkan resto mengetahui alamat customer, perlindungan konsumen tidak di perhatikan. sangat meresah seakan di intimidasi...... dan memungkinkan meneror atau membahayakan konsumen.",Shopee
Pengguna Google,1,"shopee express lagi kenapa ya, belakangan sangat mengecewakan cara kerjanya, pesanan saya sudah beberapa kali di return tanpa alasan jelas, yang bukan dari saya sendiri membatalkan pesanan, sebagai pengguna shopee yang cukup lama jujur saya sangat merasa kecewa, update kurir ditugaskan menjemput pesanan 3 kali untuk 1 pesanan namun tidak kunjung di pick up(beralih dari dikemas ke dikirim) dan ini sudah terjadi dibeberapa pesanan saya disini saya merasa dirugikan karena waktu saya terbuang siasia",Shopee
Pengguna Google,2,"Pelayanan jasa kirim jne begitu buruk, hampir 2 minggu paket saya belum datang, proses transit terlalu lama, pake acara diundur 2x, dengan alasan penerima tidak berada dilokasi, padahal itu alamat rumah saya, dan saya ga kemana mana hari itu, besoknya alasan lagi alamat tidak lengkap, kok bisa, padahal sebelumnya saya pesan paket cod 2 hari udah nyampe di alamat tertera, dari dulu pesen paket kerumah juga pasti nyampe, baru kali ini kya gini, JELEK BANGET JASA KIRIM JNE.",Shopee
Pengguna Google,1,hati hati jangan pesan instan pake aplikasi ini nyampe nya lama.. kata nya 2 jam tau2 nya 3/4 jam.. pas di tanya driver nya kok lama jawab driver kata nya bawa 4 paket dan saya pengantaran terakhir gila2 saya pesan instan bukan same day mending ijo deh jangan yg oranye,Shopee
Pengguna Google,5,mantapsss berbelanja jadi mudah setiap bulan nyaa thnksss shoppee,Shopee
Pengguna Google,5,Wauuu,Shopee
Pengguna Google,5,gud,Shopee
Pengguna Google,3,kok muter terus mau pesen susah pol,Shopee
Pengguna Google,1,"kurir Uwak labu rata2 gak bertanggung jawab dalam pekerjaan, selalu secara Sepihak Membuat laporan jadwal ulang padahal tidak ada komunikasi ke Penerima barang.",Shopee
Pengguna Google,5,over all semua baik .....,Shopee
Pengguna Google,1,kurir nya lelet selama ganti ke spx paket juga sering di retur dari pihak kurir,Shopee
Pengguna Google,5,Apk nya bagus sangat membantu dan potongan harga juga banyak....,Shopee
Pengguna Google,5,belanja di shoppe sangat memuaskan,Shopee
Pengguna Google,5,baguss banget,Shopee
Pengguna Google,5,JNT jgn di hps pliss,Shopee
Pengguna Google,1,gw gk bisa login padahal kata sandi dan nomer benar,Shopee
Pengguna Google,1,spaylater & spinjam sy ko knp gk bisa di pakai yah ? di bekukan padahal pembayaran sy blm pernah telat,Shopee
Pengguna Google,5,"sangat memuaskan, semua serba mudah.",Shopee
Pengguna Google,2,shope. sekarang lemot. pengiriman sampek semingu. biasah ya 3/2 sampek jadi bosenin pakek shope beralih ke tiktok aja dah. lbh cepet.,Shopee
Pengguna Google,5,Mantap 👍👍👍👍👍👍.👍................👍👍.................,Shopee
Pengguna Google,5,"Nice, pertahankan dan tingkatkan service...",Shopee
Pengguna Google,1,"Cancel sistem gk jelas, kalo gak niat kasih promo mending gausah sekalian",Shopee
Pengguna Google,5,bagus gak mengecewakan,Shopee
Pengguna Google,5,biar bintang yg berbicara,Shopee
Pengguna Google,3,"Shopee semenjak g bekerja sama dgn J&t pengiriman jd lambat, dulu bahkan 2 hari an juga dtg, sekarang paling cepet 4 hari, bisa sampe 6 hari baru datang",Shopee
Pengguna Google,4,ini saya semakin. di perbarui kok malahan nggak bisa buat upload foto /video penilaian ya .,Shopee
Pengguna Google,5,pelayanan cukup bagus toko/ kurirnya,Shopee
Pengguna Google,1,Pembelian saya kenapa setelah diambil sama kurir lalu tiba-tiba dikembalikan ke penjual oleh ninja expres. Dan uang saya belum dikembalikan.,Shopee
Pengguna Google,2,ayolah shopee dulu nyaman pakai kamu sekarang aku beli barang sudah 3 GK jln jln,Shopee
Pengguna Google,1,SEKARANG RIBET. Timbang pernah login. Voucher ga pernah dipake. Malah terdeteksi ga wajar. Kalo ga niat kasih voucher mending ga usah PHP. Kaya kemarin 4.4 ngasih voucher sampe tanggal 5 seenak jidat bilang cuma buat tanggal 4. Salah satu angka itu masalah besar. Apalagi platform besar yang ga mungkin ga rapat dulu sebelum launching.,Shopee
Pengguna Google,5,bahan bagus allhamdulilah,Shopee
Pengguna Google,5,byk voucher dan gratis onkir dan murah,Shopee
Pengguna Google,5,baguuusss,Shopee
Pengguna Google,1,saya pesan shopee food nunggu lebih dari 3 jam gk dapat driver padahal area bali begitu ramai,Shopee
Pengguna Google,1,shopee makin nggk jelas,Shopee
Pengguna Google,5,"hampir semua yg saya cari, ada disini",Shopee
Pengguna Google,1,"semenjak putus mitra dengan J&T semua pesanan lelet, punya saya hampir seminggu belum saya terima. lelet semua exspidisi mitra shopee yang sekarang. bisa2 pelanggan pindah di toko hijau sat set...",Shopee
Pengguna Google,1,aplikasi gampang eror tolol,Shopee
Pengguna Google,5,bagus banget,Shopee
Pengguna Google,3,Semenjak diupdate kok ongkirnya mahal y.ini mah bisa2 pindah lagi belanjanya dilazada cari yg gratis ongkir,Shopee
Pengguna Google,5,bagus aja ya,Shopee
Pengguna Google,3,"4 bulan yang lalu dapat notif katanya udah bisa aktifin spylater.. tapi udah 4 kali coba selalu gagal, apa maksudnya coba ??",Shopee
Pengguna Google,4,sekarang jadi lama pengirimannya pakai spx semenjak ada transit di pekalongan batang,Shopee
Pengguna Google,2,"shopee sekarang pengiriman lama, mesen 2 barang dari tanggal 6, udh 5 hari belom juga sampe. bisanya 2 hari udh sampe",Shopee
Pengguna Google,2,"shopee ini kenapa kali kok gambar nya ga muncul sama sekali.. jadi susah lah kalo mau cari barang, udah 4 hari kaya gotu terus.. tolong dong d perbaiki lagi",Shopee
Pengguna Google,5,mantapp,Shopee
Pengguna Google,5,shopee terhebat,Shopee
Pengguna Google,5,"selama ini sy tidak pernah belanja ditempat lain, kayaknya udah cocok banget, banyak barang2 dengan harga dari kelas bawah menengah sampai kelas atas (rekomended).",Shopee
Pengguna Google,1,Menurut ku aplikasi ini sangat membantu... Hanya saja ada beberapa penjual yang tidak aamanah Tapi aplikasi super keren... saplikasi ini sekarang error... akun ku tak bisa masuk ... saya kurangi bintang jadi satu bintang karna akun saya tak bisa masuk...,Shopee
Pengguna Google,5,semoga Shopee selalu amanah,Shopee
Pengguna Google,4,"keren,tPi kadang barangnya kurang komplit",Shopee
